Artikelnummer,Matchcode,Mandant,Artikelgruppe,Artikelgruppe_Bezeichnung,Basismengeneinheit,VK1_Preis,EK0_Preis
AN8M037639,"mediPlogs OP-Schuhe, -fuchsia- Gr. 39",1,U,Sonstiges,Stk,30.76,30.76
AN8M0385-42,"mediPlogs OP-Schuhe, dunkelblau, Größe 42",1,U,Sonstiges,Stk,1,NULL
AN8M038542,"mediplogs -Komfort OP-Schuhe, -blau-, Gr. 42",1,U,Sonstiges,Stk,34.7,34.7
AN8M0387-39,"mediPlogs OP-Schuhe, -blau-, Größe 39",1,U,Sonstiges,Stk,1,NULL
AN8M038739,"mediplogs -Komfort OP-Schuhe, -hellblau-, Gr. 39",1,U,Sonstiges,Stk,34.7,34.7
AN901043,"Klettenmanschette ADULT 11, Hillrom",1,Iac,Blutdruckmessgeräte - Zubehör,Stk,1,NULL
AN902,Venenstauer - Der grüne Stauer-,1,Ah,Venenstauer,Stk,25.01,25.01
AN904,Venenstauer Prämeta,1,Ah,Venenstauer,Stk,1,NULL
AN9783869573212,EKG -Lineal Professional II,1,U,Sonstiges,Stk,1,NULL
AN9783898624305,EKG-Lineal Pocket Card,1,U,Sonstiges,Stk,1,NULL
ANA1.416.114,"LuxaScope Auris LED 2,5V, -schwarz-",1,Iba,Otoskope und Zubehör,Stk,82.4,82.4
ANA1.416.214,"LuxaScope Otoskop LED 2,5V, -blau-",1,Iba,Otoskope und Zubehör,Stk,82.4,82.4
ANA1.416.314,"Otoskpo Auris LED, 2,5 Volt, -grau-",1,Iba,Otoskope und Zubehör,Stk,82.4,82.4
ANA1.416.934,"LuxaScope Otoskop LED 2,5V, -eisblau-",1,Iba,Otoskope und Zubehör,Stk,82.4,82.4
ANA1.416.944,"LuxaScope Auris, Otoskop, LED, 2,5 Volt",1,Iba,Otoskope und Zubehör,Stk,82.4,82.4
ANA1.416.954,"LuxaScope Auris, Otoskop, Auris, LED, 2,5 V",1,Iba,Otoskope und Zubehör,Stk,82.4,82.4
ANA1.416.964,"LuxaScope Auris, Otoskop, Auris, LED, 2,5 V",1,Iba,Otoskope und Zubehör,Stk,82.4,82.4
ANA1.416914,"LuxaScope Otoskop LED 2,5V, -weiss-",1,Iba,Otoskope und Zubehör,Stk,82.4,82.4
ANA1.516.914,"LuxaScope Otoskop LED 2,5V, -KIDS-",1,Iba,Otoskope und Zubehör,Stk,50.4,50.4
ANA1.616.114,"LuxaScope Auris, Otoskop CCT LED 2,5V, -schwarz-",1,Iba,Otoskope und Zubehör,Stk,112.3,112.3
ANA1.616.214,"LuxaScope Auris, Otoskop, CCT LED 2,5V, -blau-",1,Iba,Otoskope und Zubehör,Stk,112.3,112.3
ANA1.616.314,"LuxaScope Auris, Otoskop, CCT LED 2,5 V, -grau-",1,Iba,Otoskope und Zubehör,Stk,112.3,112.3
ANA1.616.914,"LuxaScope Auris, Otoskop, CCT LED 2,5 V, -weiss-",1,Iba,Otoskope und Zubehör,Stk,112.3,112.3
ANA5.101.144,"Luxamed Ohrtrichter klein 2,5mm, 100 St. lose",1,Iba,Otoskope und Zubehör,Stk,3.6,3.6
ANA5.101.184,"Luxamed Einweg-Ohrtrichter 4,0mm",1,Iba,Otoskope und Zubehör,Stk,2.65,2.65
ANA5.102.144,"Luxamed Einweg-Ohrtrichter groß, 4,0 cm",1,Iba,Otoskope und Zubehör,Stk,3.6,3.6
ANA5.102.184,"Einweg-Ohrtrichter 4,0 mm 1000 im Beutel",1,Iba,Otoskope und Zubehör,Stk,25,25
ANA5.201.112,Ball inkl. Schlauch und Adapter,1,U,Sonstiges,Stk,11.1,11.1
ANA99000,"Ambu Spur II, Set",1,K,Erste Hilfe & Notfall,Stk,1,NULL
ANA990002,Ambu Einweg Beatmungsbeutel Baby,1,K,Erste Hilfe & Notfall,Stk,15.83,15.83
ANA990005,Ambu Einweg Beatmungsbeutel Kinder,1,K,Erste Hilfe & Notfall,Stk,15.83,15.83
ANA990080,Ambu Beatmungs Maske Größe -Neugeborenen-,1,K,Erste Hilfe & Notfall,Stk,1.6,1.6
ANA990081,Ambu Beatmungs Maske Größe -Säugling-,1,K,Erste Hilfe & Notfall,Stk,1.6,1.6
ANA990082,Ambu Beatmungs Maske Größe -Kleinkind-,1,K,Erste Hilfe & Notfall,Stk,1.6,1.6
ANA990083,"Ambu Beatmungs Maske Größe S, -jugendlich-",1,K,Erste Hilfe & Notfall,Stk,1.6,1.6
ANA990085,"Ambu Beatmungs Maske Größe L, -Erwachsene-",1,K,Erste Hilfe & Notfall,Stk,1.6,1.6
ANAK-1,Diskettenmappe Student,1,U,Sonstiges,Stk,1,NULL
ANB-00000143,Heine Dauergebrauchs -Nasentrichter-,1,Ike,Zubehör,Stk,2.81,2.81
ANB-00011111,"Heine Dauergebrauchstrichter -Set-, je ein Stück",1,Ike,Zubehör,Stk,12.05,12.05
ANB-00011127,Einweg -Ohrtips 4 mm - 1000 Stück -,1,Ike,Zubehör,Stk,52.93,52.93
ANB-00011143,"Heine Dauergebrauchstrichter -Set-, je ein Stück",1,Ike,Zubehör,Stk,1,NULL
ANB-00011152,Heine Einweg -Ohrtips 4 mm-250 Stück,1,Ike,Zubehör,Stk,14.4,14.4
ANB-00011153,"Heine Einweg Ohrtips 2,5 mm, 250 Stück",1,Ike,Zubehör,Stk,14.4,14.4
ANB-00011241,Heine Einweg -Ohrtips 4 mm -1000 Stck-,1,Ike,Zubehör,Stk,64.99,64.99
ANB-00011242,"Heine Einweg -Ohrtips 2,5 mm -50 Stck-",1,Ike,Zubehör,Stk,65.01,65.01
ANB-14310118,BETA 400 LED Otoskop Set+Beta Gr.,1,Iba,Otoskope und Zubehör,Stk,472,472
ANB.00011128,"Heine Einweg-Ohrtips, 50 Stück, 4,0 mm",1,Ike,Zubehör,Stk,52.93,52.93
